CLAVE_CTE,ALIAS,RAZON_SOCIAL,DIRECCION,CIUDAD,ESTADO,CORREO,TELEFONO,SUCURSAL,CONTACTO
AKARI_HOLLY_ACEI,Akari Plaza Hollywood ,Akari Restaurantes SA de CV,"Av. Hacienda del Valle 7104, Int. 1, Cumbres Residencial",CHIHUAHUA,CHIHUAHUA,erickrivasmijares@gmail.com,618-157-20-10,CHIHUAHUA,Eric Rivas
AKARI_DIST1_ACEI,Akari Sushi Express Distrito 1,Susumi Operaciones S.A de C.V.,"Vía Lombardia 5700, Int. 7, Distrito I, 31060",CHIHUAHUA,CHIHUAHUA,erickrivasmijares@gmail.com,618-157-20-10,CHIHUAHUA,Eric Rivas
AKARI_ORTMENA_ACEI,Akari Sushi Express Ortíz Mena,Akari Restaurantes SA de CV,"Blvd. Antonio Ortiz Mena 1804, Los Sicomoros, 31205 ",CHIHUAHUA,CHIHUAHUA,erickrivasmijares@gmail.com y lsr_102@hotmail.com ,618-157-20-10,CHIHUAHUA,Eric Rivas
AKARI_PSOL_ACEI,Akari Sushi Express Plaza del Sol ,Akari Restaurantes SA de CV,"Perif. de la Juventud 3501, Plaza del Sol",CHIHUAHUA,CHIHUAHUA,erickrivasmijares@gmail.com,618-157-20-10,CHIHUAHUA,Eric Rivas
ALL_LOFT,All Loft,Planeacion Inmobiliaria de Chihuahua S.A. de C.V.,"Citadela #5701, Col. Saucito",Chihuahua,Chihuahua,admonalllost@gomanagment.com.mx,6143948538,CHIHUAHUA,Nancy Loya
ALMA_MIA,Alma Mia,Chihuahua Alma Mia,"C. Via Lombardia #5705 int. 105, Col. Saucito C.P.31110",Chihuahua,Chihuahua,almaccabrera@hotmail.com,614 425 6377,CHIHUAHUA,Alma Cabrera
Alsuper Algodoneros,Alsuper Algodoneros,Operadora Futurama S.A. de C.V. ,Av. Fernando Baeza 200 esquina con Plutarco Elias Calles,Delicias,Chihuahua,"vera.delossantos@alsuper.com , algodoneros.gte@alsuper.com , raul.ibarra@alsuper.com , moises.marquez@alsuper.com",,,
ALSUP_CAM,Alsuper Camargo,Operadora Futurama S.A. de C.V.,"Venustiano Carranza, Centro, C.P. 33700",CAMARGO,CHIHUAHUA,nelsa.facturas@gmail.com;vera_de_los_santos1@hotmail.com,,CHIHUAHUA,Juan Perez
ALSUP_CUAUH,Alsuper Cuauhtemoc,Operadora Futurama S.A. de C.V.,"San Antonio, 31530",CUAUHTÉMOC,CHIHUAHUA,nelsa.facturas@gmail.com;vera_de_los_santos1@hotmail.com,,CHIHUAHUA,
ALSUP_CTRO,Alsuper Delicias Centro,Operadora Futurama S.A. de C.V.,"Calle 3a Pte. 114-116, Poniente, 33000",DELICIAS,CHIHUAHUA,nelsa.facturas@gmail.com;vera_de_los_santos1@hotmail.com,,CHIHUAHUA,
ALSUP_FUNDA,Alsuper Delicias Fundadores,Operadora Futurama S.A. de C.V.,"Av. Río Conchos 500, Oriente 1, 33000",DELICIAS,CHIHUAHUA,nelsa.facturas@gmail.com;vera_de_los_santos1@hotmail.com,,CHIHUAHUA,
ALSUP_DELI_SUR,Alsuper Delicias Sur,Operadora Futurama S.A. de C.V.,"Avenida Fernando Baeza Meléndez S/N, Alameda, 33000",DELICIAS,CHIHUAHUA,nelsa.facturas@gmail.com;vera_de_los_santos1@hotmail.com;deliciassur@alsuper.com;deliciassur.gte@alsuper.com;alemania320@gmail.com,,CHIHUAHUA,
ALSUP_JIM,Alsuper Jiménez,Operadora Futurama S.A. de C.V.,"Abraham González, 33980",JOSÉ MARIANO JIMÉNEZ,CHIHUAHUA,nelsa.facturas@gmail.com;vera_de_los_santos1@hotmail.com,,CHIHUAHUA,
ALSUP_MANZ,Alsuper Manzaneros,Operadora Futurama S.A. de C.V.,"Margarita Maza de Juárez & Cascada de Cusárare, Basaseachi, 31500 ",CUAUHTÉMOC,CHIHUAHUA,nelsa.facturas@gmail.com;vera_de_los_santos1@hotmail.com,,CHIHUAHUA,
ALSUP_MEO,Alsuper Meoqui,Operadora Futurama S.A. de C.V.,"Calle Leona Vicario, Centro, 33130",PEDRO MEOQUI,CHIHUAHUA,nelsa.facturas@gmail.com;vera_de_los_santos1@hotmail.com,,CHIHUAHUA,
ALSUP_NCG,Alsuper Nuevo Casas Grandes,Operadora Futurama S.A. de C.V.,"Francisco I. Madero 201, Centro, 31700",NUEVO CASAS GRANDES,CHIHUAHUA,nelsa.facturas@gmail.com;vera_de_los_santos1@hotmail.com,,CHIHUAHUA,
ALSUP_OJI,Alsuper Ojinaga,Operadora Futurama S.A. de C.V.,"Av Trasviña y Retes & Blvrd Oscar Flores, Constitución, 32881",OJINAGA,CHIHUAHUA,nelsa.facturas@gmail.com;vera_de_los_santos1@hotmail.com,,CHIHUAHUA,
ALSUP_PARR,Alsuper Parral,Operadora Futurama S.A. de C.V.,"Magisterial, 33860",HIDALGO DEL PARRAL,CHIHUAHUA,nelsa.facturas@gmail.com;vera_de_los_santos1@hotmail.com,,CHIHUAHUA,
Alsuper_Puerta_Hierro,Alsuper Puerta de Hierro,Operadora Futurama S.A. de C.V. Alsuper Puerta de Hierro,C. Emilio Carranza #1007  Col. Centro C.P.31700,Nuevo Casas Grandes,Chihuahua,itzel.solis@alsuper.com; nelsa.facturas@gmail.com;vera_de_los_santos1@hotmail.com,,CHIHUAHUA,
ALSUP_3_CULT,Alsuper Tres Culturas,Operadora Futurama S.A. de C.V.,"Blvd. Y  Calle 62, Col. Hernández, 31527",CUAUHTÉMOC,CHIHUAHUA,nelsa.facturas@gmail.com;vera_de_los_santos1@hotmail.com;tresculturas.gte@alsuper.com;marcam1903@gmail.com,,CHIHUAHUA,
ALIT_SAUC,Altec Saucito,Altec Electronica Chihuahua S.A. de C.V.,Perif. De la Juventud S/N Parque Industrial el Saucito,CHIHUAHUA,CHIHUAHUA,correo@altec.com,615645646,CHIHUAHUA,
VISTE,Altec VISTEON,ALTEC ELECTRONICA DE CHIHUAHUA S.A DE C.V. (SUCURSAL PARQUE TECNOLOGICO BAFAR),Carretera Cd. Cuauhtemoc Complejo Industrial BAFAR,CHIHUAHUA,CHIHUAHUA,acarri12@visteon.com,,CHIHUAHUA,
American_Beef,American Beef,American Beef S.A. de C.V.,Retorno Pablo Neruda #107 Complejo Industrial Chihuahua C.P. 31109,Chihuahua,Chihuahua,comprasrefacciones@amebeef.com,,CHIHUAHUA,Claudia Galvez
ANCO_,ANCO,Subensambles Internacionales S. de R.L. de C.V.,"Prolongacion Hermanos Escobar # 7152-E, Parque Industrial Omega",Juarez,Chihuahua,,656627-07-54 ext 4744,JUAREZ,Teresa de Jesus Vazquez
APP_PER_JUV,APPLEBEES JUVENTUD,"Applemex, SA de CV",Periférico de la Juventud No. 5708  Col. Haciendas del Valle,CHIHUAHUA,CHIHUAHUA,chihuahua@applemex.com,6144301000,CHIHUAHUA,
